index,name,price,mcap,pe,pb,roce,roe,three_yr_rev_charge,three_yr_pat_charge,pbtbcfo,de,ds,sector
131,Anugraha Valve Castings Limited Unlisted Shares,725,256,12.78,1.06,8.53,8.64,24.48,123.61,-2.22,0.37,No,finance
132,India Carbon Limited Unlisted Shares,895,237,7.91,0.45,-1.15,5.75,-4.03,-39.14,-4225,,Yes,consumer
133,Bombay Swadeshi Stores Limited Unlisted Shares,470,232,23.41,13.95,48.45,59.69,77.96,N/A,50.25,0.66,No,energy
134,Maxvalue Credits And Investments Unlisted Shares,6,215,21.43,2.03,16.88,9.93,-9.61,N/A,143.1,2.23,No,manufacturing
135,DSM Fresh Foods Zappfresh,128,209,26.56,5.35,20.85,20.18,N/A,N/A,-119.28,0.2,No,manufacturing
136,GRE Renew Enertech Private Limited,185,195,19.72,6.38,32.21,32.45,N/A,N/A,51.99,0.15,No,metal
137,Mohindra Fasteners Limited Unlisted Shares,325,191.43,11.97,1.62,14.49,14.83,13.75,13.78,48.15,0.34,Yes,manufacturing
138,Usha Shriram Unlisted Share,195,192,-16.08,7.67,-6.86,-47.9,-20.11,N/A,152.67,1.93,No,consumer
139,Madhur Iron And Steel (India),125,188,15.66,4.41,25.39,36.8,N/A,N/A,-120.75,1.78,No,services
140,Ecosure Unlisted Shares,48,171,29.45,24.24,33.57,83.52,N/A,N/A,-154.95,2.67,No,engineering
141,Bagrrys India Limited Unlisted Shares,2219,168.64,6.75,1.86,26.86,30.96,5.34,47.44,92.21,0.05,No,services
142,RRP S4E Innovation Unlisted Shares Price,245,164,19.25,1.87,13.72,9.71,N/A,N/A,62.56,0.05,No,engineering
143,Premier Cryogenics Limited Unlisted Shares,323,159,13.05,1.83,16.38,14.03,16.78,30.3,101.8,0.27,Yes,pharma
144,Himalayan Heli Services,132,147,,,19.52,21.61,N/A,N/A,163.7,1.18,No,engineering
145,RNIT Solutions & Services Unlisted Shares,125,144.625,82.78,10.12,14.86,12.33,61.59,154.59,-138.78,0.2,No,services
146,Quality Enviro Engineers Private Limited,1200,142,,,39.42,29.09,-4.96,36.28,20.16,0.25,No,finance
147,Ramaraju Surgical Cotton Mills Limited Unlisted Shares,235,136.54,-3.18,0.5,-2.51,-16.18,-1.48,N/A,158.82,1.69,Yes,manufacturing
148,Roop Telsonic Ultrasonix Limited Unlisted Shares,188,131,20.13,2.36,14.46,11.74,8.75,61.37,14.52,0.13,Yes,energy
149,ICL Fincorp Limited Unlisted Shares,26,129,1300,1.33,,0.08,27.64,-82.82,N/A,4.37,Yes,hospitals
150,Delta Galaxy Unlisted Shares,58,128,9.12,1.01,41.07,51.85,238.34,937.75,,1.07,No,holdings
151,Assam Carbon Products Limited Unlisted Shares,440,121,14.73,2.42,19.51,16.48,15.4,14.21,59.84,0.02,Yes,services
152,Kusum Industrial Gases Limited Unlisted Shares,995,118,14.3,0.1,-0.01,0.73,N/A,N/A,-2175,,No,engineering
153,Down Town Hospital Limited Unlisted Shares,375,113,18.75,1.65,14.14,10.34,14.95,20.39,125,,Yes,consumer
154,NCL Holdings Unlisted Shares,95,110,60.9,1.44,0.44,2.72,-3.6,-36.26,2218.97,1.46,No,services
155,Imperative Business Ventures Limited,135,108,23.77,8.54,13.61,36.2,N/A,N/A,106.59,3.38,No,chemical
156,Adtech Systems Limited Unlisted Shares,65,99.94,25,1.77,9.56,8.28,-16.56,53.39,133.33,0.08,Yes,consumer
157,Raviraj Process Control Ltd,85,98,14.03,2.69,26.34,26.37,N/A,N/A,-32.85,0.72,No,finance
158,Apollo Fashion International Unlisted Shares,52,93.6,5.54,0.63,11.07,11.45,31.11,74.55,,0.24,No,services
159,Amol Minechem Limited,995,82,6.88,1.28,16.95,18.57,19.9,104.9,57.15,0.1,Yes,engineering
160,Market Simplified Unlisted Shares Price,36,77.0004,48.65,1.71,2.84,3.54,19,-14,151.5,,No,manufacturing
161,Bazar India Unlisted Shares,25,75,78.13,1.87,-3.59,3.2,-9.67,-26.97,-1684.47,0.95,No,services
162,Silverline Technologies Limited Unlisted Shares,12,71.982,,2.91,0.02,0.04,-36.08,-82.85,442.86,1.45,No,construction
163,Optivalue Tek Consulting Limited,40,69,,,34.72,31.09,12.01,2.16,80.41,0.25,No,pharma
164,Sri Vishnu Shankar Mill Limited Unlisted Shares,425,64,-2.95,0.31,-3.48,-11.22,-7.19,N/A,-3411.76,1.39,Yes,exchange
165,The Scottish Assam (India) Limited Unlisted Shares,775,62,5.17,0.69,-3.18,15.04,-3.48,2.2,162,0.06,Yes,finance
166,Zak Venture Ltd,135,60,,,13.24,14.56,7.68,-6.19,,2.08,No,consumer
167,Hicks Thermometers India Limited Unlisted Shares,1800,59,24.01,1.32,9.42,7.11,-18.13,-44.77,73.5,0.12,No,manufacturing
168,Calcutta Stock Exchange Unlisted Shares,919,56,67.67,0.28,-2.62,0.41,69.86,82.21,-2050.79,,Yes,pharma
169,Rydak Syndicate Limited Unlisted Shares,575,55.78,11.15,0.69,7.6,7.05,-1.21,-53.36,88.89,0.11,Yes,manufacturing
170,Livespace Interiors Pvt Ltd,300,53,,,20.42,75.47,44.92,347.21,,2.91,No,chemical
171,Auckland Jute Co. Limited Unlisted Shares,189,52,33.45,1.77,-1.3,5.3,N/A,N/A,215.36,,No,services
172,Deys Medical Stores (Mfg) Limited Unlisted Shares,539,45.8797,4.32,0.65,17.3,15.02,2.3,24.33,75.28,0.03,No,engineering
173,GG Automotive Gears Limited Unlisted Shares,42,35,7.89,1.1,13.81,13.96,41.61,224.77,98.92,0.86,No,manufacturing
